"dataset","base_dataset","replicate","separability","composition","method","n_pred_clusters","ARI","NMI","accuracy_majority_mapped","silhouette"
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Louvain",3,1,1,1,0.383692183759864
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Leiden",3,1,1,1,0.383692183759864
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Kmeans",3,1,1,1,0.383692183759864
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Hierarchical",3,1,1,1,0.383692183759864
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Louvain",3,1,1,1,0.381707967433854
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Leiden",3,1,1,1,0.381707967433854
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Kmeans",3,1,1,1,0.381707967433854
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Hierarchical",3,1,1,1,0.381707967433854
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Louvain",3,1,1,1,0.384221524015421
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Leiden",3,1,1,1,0.384221524015421
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Kmeans",3,1,1,1,0.384221524015421
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Hierarchical",3,1,1,1,0.384221524015421
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Louvain",3,1,1,1,0.382705607737594
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Leiden",3,1,1,1,0.382705607737594
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Kmeans",3,1,1,1,0.382705607737594
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Hierarchical",3,1,1,1,0.382705607737594
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Louvain",3,1,1,1,0.381031346281902
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Leiden",3,1,1,1,0.381031346281902
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Kmeans",3,1,1,1,0.381031346281902
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Hierarchical",3,1,1,1,0.381031346281902
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Louvain",3,1,1,1,0.388759682056582
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Leiden",3,1,1,1,0.388759682056582
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Kmeans",3,1,1,1,0.388759682056582
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Hierarchical",3,1,1,1,0.388759682056582
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Louvain",3,1,1,1,0.386380542906716
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Leiden",3,1,1,1,0.386380542906716
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Kmeans",3,1,1,1,0.386380542906716
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Hierarchical",3,1,1,1,0.386380542906716
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Louvain",3,1,1,1,0.389355230191409
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Leiden",3,1,1,1,0.389355230191409
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Kmeans",3,1,1,1,0.389355230191409
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Hierarchical",3,0.998792206035949,0.996975304223714,0.999666666666667,0.389205505170618
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Louvain",3,1,1,1,0.388925609262416
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Leiden",3,1,1,1,0.388925609262416
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Kmeans",3,1,1,1,0.388925609262416
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Hierarchical",3,1,1,1,0.388925609262416
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Louvain",3,1,1,1,0.387228000748242
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Leiden",3,1,1,1,0.387228000748242
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Kmeans",3,1,1,1,0.387228000748242
