"dataset","base_dataset","replicate","separability","composition","method","true_celltype","recall"
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Louvain","CD14_Monocyte",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Louvain","B_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Louvain","NK_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Leiden","CD14_Monocyte",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Leiden","B_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Leiden","NK_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Kmeans","CD14_Monocyte",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Kmeans","B_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Kmeans","NK_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Hierarchical","CD14_Monocyte",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Hierarchical","B_cell",1
"S1_high_balanced_rep1","S1_high_balanced",1,"High","Balanced","Hierarchical","NK_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Louvain","CD14_Monocyte",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Louvain","B_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Louvain","NK_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Leiden","CD14_Monocyte",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Leiden","B_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Leiden","NK_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Kmeans","CD14_Monocyte",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Kmeans","B_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Kmeans","NK_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Hierarchical","CD14_Monocyte",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Hierarchical","B_cell",1
"S1_high_balanced_rep2","S1_high_balanced",2,"High","Balanced","Hierarchical","NK_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Louvain","CD14_Monocyte",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Louvain","B_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Louvain","NK_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Leiden","CD14_Monocyte",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Leiden","B_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Leiden","NK_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Kmeans","CD14_Monocyte",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Kmeans","B_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Kmeans","NK_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Hierarchical","CD14_Monocyte",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Hierarchical","B_cell",1
"S1_high_balanced_rep3","S1_high_balanced",3,"High","Balanced","Hierarchical","NK_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Louvain","CD14_Monocyte",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Louvain","B_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Louvain","NK_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Leiden","CD14_Monocyte",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Leiden","B_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Leiden","NK_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Kmeans","CD14_Monocyte",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Kmeans","B_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Kmeans","NK_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Hierarchical","CD14_Monocyte",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Hierarchical","B_cell",1
"S1_high_balanced_rep4","S1_high_balanced",4,"High","Balanced","Hierarchical","NK_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Louvain","CD14_Monocyte",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Louvain","B_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Louvain","NK_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Leiden","CD14_Monocyte",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Leiden","B_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Leiden","NK_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Kmeans","CD14_Monocyte",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Kmeans","B_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Kmeans","NK_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Hierarchical","CD14_Monocyte",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Hierarchical","B_cell",1
"S1_high_balanced_rep5","S1_high_balanced",5,"High","Balanced","Hierarchical","NK_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Louvain","CD14_Monocyte",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Louvain","B_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Louvain","NK_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Leiden","CD14_Monocyte",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Leiden","B_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Leiden","NK_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Kmeans","CD14_Monocyte",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Kmeans","B_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Kmeans","NK_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Hierarchical","CD14_Monocyte",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Hierarchical","B_cell",1
"S2_high_moderate_rep1","S2_high_moderate",1,"High","Moderate","Hierarchical","NK_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Louvain","CD14_Monocyte",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Louvain","B_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Louvain","NK_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Leiden","CD14_Monocyte",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Leiden","B_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Leiden","NK_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Kmeans","CD14_Monocyte",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Kmeans","B_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Kmeans","NK_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Hierarchical","CD14_Monocyte",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Hierarchical","B_cell",1
"S2_high_moderate_rep2","S2_high_moderate",2,"High","Moderate","Hierarchical","NK_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Louvain","CD14_Monocyte",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Louvain","B_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Louvain","NK_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Leiden","CD14_Monocyte",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Leiden","B_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Leiden","NK_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Kmeans","CD14_Monocyte",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Kmeans","B_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Kmeans","NK_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Hierarchical","CD14_Monocyte",0.999444444444444
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Hierarchical","B_cell",1
"S2_high_moderate_rep3","S2_high_moderate",3,"High","Moderate","Hierarchical","NK_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Louvain","CD14_Monocyte",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Louvain","B_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Louvain","NK_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Leiden","CD14_Monocyte",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Leiden","B_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Leiden","NK_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Kmeans","CD14_Monocyte",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Kmeans","B_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Kmeans","NK_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Hierarchical","CD14_Monocyte",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Hierarchical","B_cell",1
"S2_high_moderate_rep4","S2_high_moderate",4,"High","Moderate","Hierarchical","NK_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Louvain","CD14_Monocyte",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Louvain","B_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Louvain","NK_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Leiden","CD14_Monocyte",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Leiden","B_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Leiden","NK_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Kmeans","CD14_Monocyte",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Kmeans","B_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Kmeans","NK_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Hierarchical","CD14_Monocyte",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Hierarchical","B_cell",1
"S2_high_moderate_rep5","S2_high_moderate",5,"High","Moderate","Hierarchical","NK_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Louvain","CD14_Monocyte",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Louvain","B_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Leiden","NK_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Kmeans","CD14_Monocyte",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Kmeans","B_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Kmeans","NK_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Hierarchical","CD14_Monocyte",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Hierarchical","B_cell",1
"S3_high_extreme_rep1","S3_high_extreme",1,"High","Extreme","Hierarchical","NK_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Louvain","CD14_Monocyte",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Louvain","B_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Louvain","NK_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","CD14_Monocyte",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","B_cell",1
"S3_high_extreme_rep2","S3_high_extreme",2,"High","Extreme","Leiden","NK_cell",1
