"dataset","n_genes","n_cells","zero_rate","min_library_size","median_library_size","mean_library_size","max_library_size","base_dataset","replicate","separability","composition"
"S1_high_balanced_rep1",1000,3000,0.868556333333333,94,415,443.877333333333,1533,"S1_high_balanced",1,"High","Balanced"
"S1_high_balanced_rep2",1000,3000,0.869159333333333,86,412,442.329666666667,1411,"S1_high_balanced",2,"High","Balanced"
"S1_high_balanced_rep3",1000,3000,0.869047666666667,91,407,442.069,1492,"S1_high_balanced",3,"High","Balanced"
"S1_high_balanced_rep4",1000,3000,0.869421333333333,73,405,437.924,1561,"S1_high_balanced",4,"High","Balanced"
"S1_high_balanced_rep5",1000,3000,0.869115,73,410,439.890333333333,1709,"S1_high_balanced",5,"High","Balanced"
"S2_high_moderate_rep1",1000,3000,0.867258666666667,69,475,491.073,1395,"S2_high_moderate",1,"High","Moderate"
"S2_high_moderate_rep2",1000,3000,0.866077666666667,80,477,497.242,1390,"S2_high_moderate",2,"High","Moderate"
"S2_high_moderate_rep3",1000,3000,0.86642,91,472,494.407,1490,"S2_high_moderate",3,"High","Moderate"
"S2_high_moderate_rep4",1000,3000,0.866317666666667,82,472,496.184333333333,1390,"S2_high_moderate",4,"High","Moderate"
"S2_high_moderate_rep5",1000,3000,0.866344333333333,74,477,497.705333333333,1460,"S2_high_moderate",5,"High","Moderate"
"S3_high_extreme_rep1",1000,3000,0.861355666666667,51,540.5,551.815,1468,"S3_high_extreme",1,"High","Extreme"
"S3_high_extreme_rep2",1000,3000,0.861185666666667,89,541.5,552.860666666667,1562,"S3_high_extreme",2,"High","Extreme"
"S3_high_extreme_rep3",1000,3000,0.860990666666667,90,543,552.677,1402,"S3_high_extreme",3,"High","Extreme"
"S3_high_extreme_rep4",1000,3000,0.860883666666667,80,540,555.358,1474,"S3_high_extreme",4,"High","Extreme"
"S3_high_extreme_rep5",1000,3000,0.861047,83,547,553.157666666667,1490,"S3_high_extreme",5,"High","Extreme"
"S4_low_balanced_rep1",1000,3000,0.873779666666667,140,344,353.063666666667,685,"S4_low_balanced",1,"Low","Balanced"
"S4_low_balanced_rep2",1000,3000,0.873562666666667,139,344.5,352.997333333333,712,"S4_low_balanced",2,"Low","Balanced"
"S4_low_balanced_rep3",1000,3000,0.873348,150,345,352.512333333333,708,"S4_low_balanced",3,"Low","Balanced"
"S4_low_balanced_rep4",1000,3000,0.873475666666667,125,345,352.817,704,"S4_low_balanced",4,"Low","Balanced"
"S4_low_balanced_rep5",1000,3000,0.873213666666667,148,347,352.790666666667,668,"S4_low_balanced",5,"Low","Balanced"
"S5_low_moderate_rep1",1000,3000,0.878248333333333,145,320,330.820333333333,701,"S5_low_moderate",1,"Low","Moderate"
"S5_low_moderate_rep2",1000,3000,0.877779666666667,108,322.5,332.921,743,"S5_low_moderate",2,"Low","Moderate"
"S5_low_moderate_rep3",1000,3000,0.87786,135,325,333.093666666667,757,"S5_low_moderate",3,"Low","Moderate"
"S5_low_moderate_rep4",1000,3000,0.877765333333333,106,322,331.363666666667,664,"S5_low_moderate",4,"Low","Moderate"
"S5_low_moderate_rep5",1000,3000,0.87783,145,322,333.390666666667,756,"S5_low_moderate",5,"Low","Moderate"
"S6_low_extreme_rep1",1000,3000,0.882693333333333,122,305,313.21,787,"S6_low_extreme",1,"Low","Extreme"
"S6_low_extreme_rep2",1000,3000,0.882959666666667,131,301,312.553666666667,715,"S6_low_extreme",2,"Low","Extreme"
"S6_low_extreme_rep3",1000,3000,0.882984666666667,124,303,313.526666666667,699,"S6_low_extreme",3,"Low","Extreme"
"S6_low_extreme_rep4",1000,3000,0.883396666666667,124,301,311.126333333333,676,"S6_low_extreme",4,"Low","Extreme"
"S6_low_extreme_rep5",1000,3000,0.883516,132,303,311.353333333333,682,"S6_low_extreme",5,"Low","Extreme"
